Epoch 52/200,Train_Loss: 0.2940,Train_Accuracy: 0.9286,train_F1: 0.9286,train_AUC: 0.9729, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 53/200,Train_Loss: 0.3477,Train_Accuracy: 0.9127,train_F1: 0.9127,train_AUC: 0.9518, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 54/200,Train_Loss: 0.3918,Train_Accuracy: 0.9048,train_F1: 0.9048,train_AUC: 0.9124, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 55/200,Train_Loss: 0.4034,Train_Accuracy: 0.9048,train_F1: 0.9048,train_AUC: 0.9292, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 56/200,Train_Loss: 0.2967,Train_Accuracy: 0.9206,train_F1: 0.9206,train_AUC: 0.9661, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 57/200,Train_Loss: 0.3069,Train_Accuracy: 0.9048,train_F1: 0.9048,train_AUC: 0.9641, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 58/200,Train_Loss: 0.3033,Train_Accuracy: 0.9286,train_F1: 0.9286,train_AUC: 0.9670, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 59/200,Train_Loss: 0.3121,Train_Accuracy: 0.9048,train_F1: 0.9048,train_AUC: 0.9606, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 60/200,Train_Loss: 0.3269,Train_Accuracy: 0.9127,train_F1: 0.9127,train_AUC: 0.9577, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 61/200,Train_Loss: 0.2138,Train_Accuracy: 0.9365,train_F1: 0.9365,train_AUC: 0.9872, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 62/200,Train_Loss: 0.2953,Train_Accuracy: 0.9286,train_F1: 0.9286,train_AUC: 0.9646, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 63/200,Train_Loss: 0.2534,Train_Accuracy: 0.9365,train_F1: 0.9365,train_AUC: 0.9700, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 64/200,Train_Loss: 0.3137,Train_Accuracy: 0.9524,train_F1: 0.9524,train_AUC: 0.9774, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 65/200,Train_Loss: 0.2734,Train_Accuracy: 0.9048,train_F1: 0.9048,train_AUC: 0.9729, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 66/200,Train_Loss: 0.3436,Train_Accuracy: 0.9048,train_F1: 0.9048,train_AUC: 0.9159, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 67/200,Train_Loss: 0.2079,Train_Accuracy: 0.9286,train_F1: 0.9286,train_AUC: 0.9852, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 68/200,Train_Loss: 0.2322,Train_Accuracy: 0.9444,train_F1: 0.9444,train_AUC: 0.9902, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 69/200,Train_Loss: 0.2578,Train_Accuracy: 0.9365,train_F1: 0.9365,train_AUC: 0.9444, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 70/200,Train_Loss: 0.2886,Train_Accuracy: 0.9286,train_F1: 0.9286,train_AUC: 0.9493, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 71/200,Train_Loss: 0.1776,Train_Accuracy: 0.9444,train_F1: 0.9444,train_AUC: 0.9951, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 72/200,Train_Loss: 0.2529,Train_Accuracy: 0.9127,train_F1: 0.9127,train_AUC: 0.9725, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 73/200,Train_Loss: 0.2264,Train_Accuracy: 0.9603,train_F1: 0.9603,train_AUC: 0.9911, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 74/200,Train_Loss: 0.2555,Train_Accuracy: 0.9127,train_F1: 0.9127,train_AUC: 0.9641, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 75/200,Train_Loss: 0.3439,Train_Accuracy: 0.9286,train_F1: 0.9286,train_AUC: 0.9370, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 76/200,Train_Loss: 0.1776,Train_Accuracy: 0.9444,train_F1: 0.9444,train_AUC: 0.9921, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 77/200,Train_Loss: 0.2301,Train_Accuracy: 0.9048,train_F1: 0.9048,train_AUC: 0.9769, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 78/200,Train_Loss: 0.3793,Train_Accuracy: 0.9048,train_F1: 0.9048,train_AUC: 0.9095, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
