Epoch 63/500, Train_Loss: 0.0049, Train_Accuracy: 0.6575, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.4444
Epoch 64/500, Train_Loss: 0.0039, Train_Accuracy: 0.8767, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 65/500, Train_Loss: 0.0053, Train_Accuracy: 0.1986, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.1852
Epoch 66/500, Train_Loss: 0.0034, Train_Accuracy: 0.7808, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.8148
Epoch 67/500, Train_Loss: 0.0039, Train_Accuracy: 0.5890, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.6296
Epoch 68/500, Train_Loss: 0.0042, Train_Accuracy: 0.6918, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.6667
Epoch 69/500, Train_Loss: 0.0039, Train_Accuracy: 0.4863, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.4815
Epoch 70/500, Train_Loss: 0.0033, Train_Accuracy: 0.8493, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.8519
Epoch 71/500, Train_Loss: 0.0042, Train_Accuracy: 0.4452, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.4074
Epoch 72/500, Train_Loss: 0.0038, Train_Accuracy: 0.7603, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7037
Epoch 73/500, Train_Loss: 0.0038, Train_Accuracy: 0.8562, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 74/500, Train_Loss: 0.0039, Train_Accuracy: 0.8699, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 75/500, Train_Loss: 0.0033, Train_Accuracy: 0.8219, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.8519
Epoch 76/500, Train_Loss: 0.0034, Train_Accuracy: 0.7945, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 77/500, Train_Loss: 0.0034, Train_Accuracy: 0.8767, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7407
Epoch 78/500, Train_Loss: 0.0038, Train_Accuracy: 0.7329, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 79/500, Train_Loss: 0.0037, Train_Accuracy: 0.7397, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.6667
Epoch 80/500, Train_Loss: 0.0037, Train_Accuracy: 0.7123, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.2143,Test_Accuracy: 0.7037
Epoch 81/500, Train_Loss: 0.0034, Train_Accuracy: 0.7671, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.6429,Test_Accuracy: 0.6667
